Entry	Protein names	Gene names	Gene names  (primary )	Cross-reference (GeneID)	Cross-reference (Ensembl)	Length	Mass	Status
P23180	Probable oxidoreductase AIM17 (EC 1.14.11.-) (Altered inheritance of mitochondria protein 17, mitochondrial) (Found in mitochondrial proteome protein 12)	AIM17 FMP12 YHL021C	AIM17	856365;		465	53,135	reviewed
P40451	Altered inheritance of mitochondria protein 20	AIM20 YIL158W	AIM20	854648;		204	22,840	reviewed
P32858	Altered inheritance of mitochondria protein 26, mitochondrial	AIM26 YKL037W YKL250	AIM26	853829;		118	12,936	reviewed
Q08223	Altered inheritance of mitochondria protein 39, mitochondrial	AIM39 YOL053W O1269	AIM39	854103;		395	45,851	reviewed
Q99299	Altered inheritance of mitochondria protein 44	AIM44 YPL158C P2570	AIM44	855945;		758	84,846	reviewed
P38080	Serine/threonine-protein kinase AKL1 (EC 2.7.11.1)	AKL1 YBR059C YBR0519	AKL1	852351;		1108	123,989	reviewed
P54114	Aldehyde dehydrogenase [NAD(P)+] 2 (EC 1.2.1.3)	ALD3 ALD4 YMR169C YM8520.18C	ALD3	855205;		506	55,385	reviewed
P54115	Magnesium-activated aldehyde dehydrogenase, cytosolic (EC 1.2.1.4) (Mg(2+)-activated acetaldehyde dehydrogenase) (Mg(2+)-ACDH)	ALD6 ALDH1 YPL061W LPE9	ALD6	856044;		500	54,414	reviewed
Q07622	Activator of C kinase protein 1	ACK1 YDL203C D1066	ACK1	851324;		623	69,371	reviewed
P39533	Homocitrate dehydratase, mitochondrial (EC 4.2.1.-) (Aconitase 2)	ACO2 YJL200C J0327	ACO2	853230;		789	86,583	reviewed
Q01574	Acetyl-coenzyme A synthetase 1 (EC 6.2.1.1) (Acetate--CoA ligase 1) (Acyl-activating enzyme 1)	ACS1 YAL054C FUN44	ACS1	851245;		713	79,141	reviewed
Q03233	Alpha1-proteinase inhibitor-degradation deficient protein 37	ADD37 YMR184W YM8010.14	ADD37	855222;		198	22,110	reviewed
Q2V2Q1	Antisense of depressing factor protein 1	ADF1 YCL058W-A	ADF1	3289591;		113	12,739	reviewed
Q12184	Adrenodoxin homolog, mitochondrial (Mitochondrial ferredoxin)	YAH1 YPL252C	YAH1	855824;		172	18,932	reviewed
P18239	ADP,ATP carrier protein 2 (ADP/ATP translocase 2) (Adenine nucleotide translocator 2) (ANT 2) (Petite colonies protein 9)	PET9 AAC2 YBL030C YBL0421	PET9	852250;		318	34,426	reviewed
P38628	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (PGM-complementing protein 1)	PCM1 AGM1 YEL058W	PCM1	856652;		557	62,067	reviewed
Q12433	Protein AHC1 (ADA HAT complex component 1)	AHC1 YOR023C OR26.13	AHC1	854188;		566	63,869	reviewed
Q04689	Altered inheritance of mitochondria protein 32	AIM32 YML050W YM9827.02	AIM32	854955;		311	35,977	reviewed
P38266	Altered inheritance of mitochondria protein 3	AIM3 YBR108W YBR0901	AIM3	852405;		947	103,863	reviewed
Q12032	Altered inheritance of mitochondria protein 41, mitochondrial	AIM41 YOR215C YOR50-5	AIM41	854390;		185	21,229	reviewed
Q07716	Altered inheritance of mitochondria protein 6	AIM6 YDL237W	AIM6	851361;		390	44,383	reviewed
P40507	Protein AIR1 (Arginine methyltransferase-interacting RING finger protein 1)	AIR1 YIL079C	AIR1	854731;		360	41,631	reviewed
P10869	Aspartokinase (EC 2.7.2.4) (Aspartate kinase)	HOM3 YER052C	HOM3	856778;		527	58,110	reviewed
P46367	Potassium-activated aldehyde dehydrogenase, mitochondrial (EC 1.2.1.5) (K(+)-activated acetaldehyde dehydrogenase) (K(+)-ACDH)	ALD4 ALD7 ALDH2 YOR374W O6730	ALD4	854556;		519	56,724	reviewed
P50076	Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-1,2-glucosyltransferase ALG10-A) (Alpha-2-glucosyltransferase ALG10) (Asparagine-linked glycosylation protein 10) (Dolichyl-phosphoglucose-dependent glucosyltransferase ALG10)	DIE2 ALG10 YGR227W G8547	DIE2	853142;		525	61,793	reviewed
P53178	UDP-N-acetylglucosamine transferase subunit ALG13 (EC 2.4.1.141) (Asparagine-linked glycosylation protein 13)	ALG13 YGL047W	ALG13	852835;		202	22,661	reviewed
P40351	Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase)	ALG8 YOR067C YOR29-18	ALG8	854233;		577	67,385	reviewed
P53868	Alpha-1,2-mannosyltransferase ALG9 (EC 2.4.1.259) (EC 2.4.1.261) (Asparagine-linked glycosylation protein 9) (Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase) (Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase)	ALG9 YNL219C N1295	ALG9	855502;		555	63,777	reviewed
P32789	Serine/threonine-protein kinase Haspin homolog ALK2 (EC 2.7.11.1)	ALK2 YBL009W YBL0317	ALK2	852274;		676	76,372	reviewed
P07246	Alcohol dehydrogenase 3, mitochondrial (EC 1.1.1.1) (Alcohol dehydrogenase III) (YADH-3)	ADH3 YMR083W YM9582.08	ADH3	855107;		375	40,370	reviewed
P10127	Alcohol dehydrogenase 4 (EC 1.1.1.1) (Alcohol dehydrogenase IV) (ADHIV)	ADH4 ZRG5 YGL256W NRC465	ADH4	852636;		382	41,142	reviewed
P04710	ADP,ATP carrier protein 1 (ADP/ATP translocase 1) (Adenine nucleotide translocator 1) (ANT 1)	AAC1 YMR056C YM9796.09C	AAC1	855078;		309	34,121	reviewed
Q05955	Accumulates dyads protein 4	ADY4 YLR227C L8083.11	ADY4	850924;		493	57,833	reviewed
P32794	ATPase family gene 2 protein	AFG2 YLR397C L8084.16	AFG2	851113;		780	84,748	reviewed
P32781	A-agglutinin-binding subunit	AGA2 YGL032C	AGA2	852851;		87	9,464	reviewed
P29589	Putative hexose transport activator protein	AHT1 YHR093W	AHT1			182	19,776	reviewed
P03876	Putative COX1/OXI3 intron 2 protein	AI2 Q0055	AI2	854594;		854	98,008	reviewed
Q9ZZX0	Intron-encoded DNA endonuclease aI5 beta (EC 3.1.-.-)	AI5_BETA Q0075	AI5_BETA	854599;		354	42,279	reviewed
P47015	Altered inheritance of mitochondria protein 23, mitochondrial	AIM23 YJL131C J0682	AIM23	853310;		356	41,461	reviewed
P47127	Altered inheritance of mitochondria protein 24, mitochondrial (Found in mitochondrial proteome protein 26)	AIM24 FMP26 YJR080C J1847	AIM24	853543;		394	44,428	reviewed
P38885	Altered inheritance of mitochondria protein 46, mitochondrial (Found in mitochondrial proteome protein 34)	AIM46 FMP34 YHR199C	AIM46	856606;		310	34,113	reviewed
P53954	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Alpha-1,2-mannosyltransferase ALG11) (Asparagine-linked glycosylation protein 11) (Glycolipid 2-alpha-mannosyltransferase)	ALG11 YNL048W N2510 YNL2510W	ALG11	855679;		548	63,143	reviewed
P50082	Meiosis-specific APC/C activator protein AMA1 (Activator of meiotic APC/C protein 1) (Sporulation-specific protein 70)	AMA1 SPO70 YGR225W G8541	AMA1	853140;		593	67,027	reviewed
P00330	Alcohol dehydrogenase 1 (EC 1.1.1.1) (Alcohol dehydrogenase I) (YADH-1)	ADH1 ADC1 YOL086C O0947	ADH1	854068;		348	36,849	reviewed
P47143	Adenosine kinase (EC 2.7.1.20)	ADO1 YJR105W J1973	ADO1	853569;		340	36,372	reviewed
Q01976	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase)	YSA1 YBR111C YBR0907	YSA1	852408;		231	26,087	reviewed
P38872	Prospore formation at selected spindle poles protein 1 (Accumulates dyads protein 1)	PFS1 ADY1 YHR185C	PFS1	856591;		237	27,884	reviewed
P22136	ATPase expression protein 2, mitochondrial	AEP2 ATP13 YMR282C YM8021.08C	AEP2	855325;		580	67,523	reviewed
Q12089	ATPase expression protein 3	AEP3 YPL005W YP8132.08	AEP3	856102;		606	70,310	reviewed
P32317	Protein AFG1	AFG1 AFG YEL052W	AFG1	856658;		509	58,265	reviewed
Q99222	ARF3-interacting protein 1	AFI1 YOR129C YOR3296C	AFI1	854296;		893	102,250	reviewed
Q12482	Mitochondrial aspartate-glutamate transporter AGC1 (Aspartate-glutamate carrier 1)	AGC1 YPR021C YP9367.01C	AGC1	856132;		902	104,304	reviewed
P40529	ADP-ribosylation factor GTPase-activating protein effector protein 2 (ARF GAP effector protein 2)	AGE2 YIL044C	AGE2	854767;		298	32,638	reviewed
P43567	Alanine--glyoxylate aminotransferase 1 (EC 2.6.1.44)	AGX1 YFL030W	AGX1	850514;		385	41,907	reviewed
P25649	ADA histone acetyltransferase complex component 2 (Putative transcriptional regulator AHC2)	AHC2 YCR082W YCR82W	AHC2	850443;		128	15,117	reviewed
P03875	Putative COX1/OXI3 intron 1 protein	AI1 Q0050	AI1	854593;		834	96,079	reviewed
P40502	Altered inheritance of mitochondria protein 19, mitochondrial	AIM19 YIL087C	AIM19	854722;		157	16,924	reviewed
P40350	Dolichyl-phosphate beta-glucosyltransferase (DolP-glucosyltransferase) (EC 2.4.1.117) (Asparagine-linked glycosylation protein 5)	ALG5 YPL227C P1437	ALG5	855874;		334	38,347	reviewed
P15274	AMP deaminase (EC 3.5.4.6) (Myoadenylate deaminase)	AMD1 AMD YML035C	AMD1	854973;		810	93,302	reviewed
P08019	Glucoamylase, intracellular sporulation-specific (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (Glucan 1,4-alpha-glucosidase)	SGA1 SGA YIL099W	SGA1	854708;		549	61,463	reviewed
P38113	Alcohol dehydrogenase 5 (EC 1.1.1.1) (Alcohol dehydrogenase V)	ADH5 YBR145W YBR1122	ADH5	852442;		351	37,648	reviewed
P07248	Regulatory protein ADR1	ADR1 YDR216W YD8142.16 YD8142B.08	ADR1	851802;		1323	150,941	reviewed
Q08957	Iron-regulated transcriptional activator AFT2 (Activator of iron transcription protein 2)	AFT2 YPL202C	AFT2	855899;		416	47,105	reviewed
P38884	Altered inheritance of mitochondria protein 18, mitochondrial (Found in mitochondrial proteome protein 22)	AIM18 FMP22 YHR198C	AIM18	856605;		321	36,502	reviewed
P39721	Protein AIM2 (Altered inheritance rate of mitochondria protein 2)	AIM2 YAL049C	AIM2	851248;		246	27,089	reviewed
Q03798	Altered inheritance of mitochondria protein 36, mitochondrial (Found in mitochondrial proteome protein 39)	AIM36 FMP39 YMR157C YM8520.06C	AIM36	855189;		255	29,077	reviewed
P38305	Altered inheritance of mitochondria protein 4 (Synthetic with old yellow enzyme protein 1)	AIM4 SOY1 YBR194W YBR1404	AIM4	852493;		123	14,234	reviewed
P40053	Altered inheritance of mitochondria protein 9, mitochondrial (Found in mitochondrial proteome protein 29)	AIM9 FMP29 YER080W	AIM9	856813;		627	72,414	reviewed
P47771	Aldehyde dehydrogenase [NAD(P)+] 1 (EC 1.2.1.3)	ALD2 ALD5 YMR170C YM8520.19C	ALD2	855206;		506	55,188	reviewed
P40047	Aldehyde dehydrogenase 5, mitochondrial (EC 1.2.1.5)	ALD5 ALD3 ALDH5 YER073W	ALD5	856804;		520	56,693	reviewed
P14540	Fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)	FBA1 YKL060C YKL320	FBA1	853805;		359	39,621	reviewed
P43636	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	ALG2 YGL065C	ALG2	852815;		503	58,047	reviewed
P38285	Antagonist of mitotic exit network protein 1 (Chromosome stability protein 13) (Increased copper-sensitivity protein 4)	AMN1 CST13 ICS4 YBR158W YBR1208	AMN1	852455;		549	62,686	reviewed
P38832	Probable GPI-anchored protein ANS1	ANS1 YHR126C	ANS1	856527;		159	16,635	reviewed
P38856	Clathrin coat assembly protein AP180A	YAP1801 YHR161C	YAP1801	856566;		637	71,660	reviewed
Q00776	AP-1 complex subunit mu-1-I (Clathrin assembly protein complex 1 mu-1-I medium chain) (Clathrin coat assembly protein AP54) (Clathrin coat-associated protein AP54) (Golgi adaptor AP-1 54 kDa protein) (HA1 54 kDa subunit) (Mu(1)-adaptin) (Mu1-I-adaptin)	APM1 YAP54 YPL259C P0394	APM1	855869;		475	53,874	reviewed
P00331	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (YADH-2)	ADH2 ADR2 YMR303C YM9952.05C	ADH2	855349;		348	36,732	reviewed
Q04894	NADP-dependent alcohol dehydrogenase 6 (EC 1.1.1.2) (NADP-dependent alcohol dehydrogenase VI) (ScADHVI)	ADH6 YMR318C YM9924.10C	ADH6	855368;		360	39,618	reviewed
P25613	Accumulation of dyads protein 2 (Ammonia transport outward protein 1)	ADY2 ATO1 YCR010C YCR10C	ADY2	850368;		283	30,726	reviewed
P32493	ATPase expression protein 1, mitochondrial (Nuclear control of ATPase messenger RNA expression protein 1)	AEP1 NCA1 YMR064W YM9916.03	AEP1	855086;		518	59,748	reviewed
P53930	Protein AF-9 homolog	YAF9 YNL107W N1966	YAF9	855616;		226	25,981	reviewed
P87275	Altered inheritance of mitochondria protein 11 (Genetic interactor of prohibitins 8)	AIM11 GEP8 YER093C-A	AIM11	856829;		137	15,753	reviewed
P36154	Altered inheritance rate of mitochondria protein 29	AIM29 YKR074W	AIM29	853949;		155	18,436	reviewed
Q03673	Altered inheritance of mitochondria protein 34, mitochondrial	AIM34 YMR003W YM8270.05	AIM34	855015;		198	22,742	reviewed
Q12013	Probable palmitoyltransferase AKR2 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR2)	AKR2 YOR034C OR26.25	AKR2	854199;		749	85,236	reviewed
P43633	Serine/threonine-protein kinase Haspin homolog ALK1 (EC 2.7.11.1) (DNA damage-responsive protein ALK1)	ALK1 YGL021W G3686	ALK1	852863;		760	86,087	reviewed
P38313	Central kinetochore subunit AME1 (Associated with microtubules and essential protein 1)	AME1 ARP100 YBR211C YBR1458	AME1	852512;		324	37,462	reviewed
P36090	Uncharacterized protein ANR2 (AVL9-related family protein 2)	ANR2 YKL047W YKL260	ANR2	853819;		516	58,895	reviewed
P38065	AP-2 complex subunit alpha (Alpha-adaptin) (Clathrin assembly protein complex 2 alpha large chain) (Clathrin assembly protein large alpha chain)	APL3 YBL037W YBL0412	APL3	852243;		1025	115,012	reviewed
P47064	AP-3 complex subunit sigma (AP-3 complex sigma3A subunit) (Adaptor-related protein complex 3 subunit sigma) (Clathrin-associated/assembly/adaptor protein, small 3) (Sigma-adaptin 3A) (Sigma3-adaptin)	APS3 YKS7 YJL024C J1274	APS3	853429;		194	21,938	reviewed
Q12449	Hsp90 co-chaperone AHA1 (Activator of Hsp90 ATPase protein 1)	AHA1 YDR214W YD8142.16 YD8142B.06	AHA1	851800;		350	39,436	reviewed
P52923	Apoptosis-inducing factor 1 (EC 1.-.-.-) (Cercosporin and photosensitizer-detoxification protein 1)	AIF1 CPD1 YNR074C N3815	AIF1	855811;		378	41,335	reviewed
P39724	Altered inheritance of mitochondria protein 1	AIM1 YAL046C	AIM1	851251;		118	13,356	reviewed
P40563	Altered inheritance of mitochondria protein 21	AIM21 YIR003W YIB3W	AIM21	854819;		679	74,763	reviewed
P47140	Altered inheritance rate of mitochondria protein 25	AIM25 YJR100C J1946	AIM25	853563;		327	37,480	reviewed
Q04516	Uncharacterized oxidoreductase AIM33 (EC 1.-.-.-) (Altered inheritance of mitochondria protein 33)	AIM33 YML087C	AIM33	854887;		312	35,764	reviewed
P46680	Actin-interacting protein 1	AIP1 YMR092C YM9582.17C	AIP1	855117;		615	67,326	reviewed
Q12476	Protein AIR2 (Arginine methyltransferase-interacting RING finger protein 2)	AIR2 YDL175C	AIR2	851379;		344	39,344	reviewed
P52892	Probable alanine aminotransferase (EC 2.6.1.2) (Glutamate pyruvate transaminase) (GPT) (Glutamic--alanine transaminase) (Glutamic--pyruvic transaminase)	ALT2 YDR111C YD9727.07C	ALT2	851690;		507	56,770	reviewed
Q08548	Lysophospholipid acyltransferase (LPLAT) (EC 2.3.1.23) (EC 2.3.1.51) (1-acyl-sn-glycerol-3-phosphate acyltransferase) (AGPAT) (Lysophosphatidic acid acyltransferase) (LPAAT) (Lysophosphatidylcholine acyltransferase) (LPCAT) (Lysophosphatidylethanolamine acyltransferase) (LPEAT)	ALE1 LCA1 LPT1 SLC4 YOR175C O3635	ALE1	854346;		619	72,228	reviewed
P16661	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase)	ALG1 YBR110W YBR0906	ALG1	852407;		449	51,929	reviewed
