Entry	Protein names	Gene names	Gene names  (primary )	Cross-reference (GeneID)	Cross-reference (Ensembl)	Length	Mass	Status
P26439	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type II) (3-beta-HSD II) (3-beta-HSD adrenal and gonadal type) [Includes: 3-beta-hydroxy-Delta(5)-steroid dehydrogenase (EC 1.1.1.145) (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progesterone reductase); Steroid Delta-isomerase (EC 5.3.3.1) (Delta-5-3-ketosteroid isomerase)]	HSD3B2 HSDB3B	HSD3B2	3284;	ENST00000369416;ENST00000543831;	372	42,052	reviewed
Q9Y3L3	SH3 domain-binding protein 1 (3BP-1)	SH3BP1	SH3BP1	23616;	ENST00000357436;ENST00000417536;	701	75,713	reviewed
P78314	SH3 domain-binding protein 2 (3BP-2)	SH3BP2 3BP2 RES4-23	SH3BP2	6452;	ENST00000356331;ENST00000435136;ENST00000442312;ENST00000452765;ENST00000503393;ENST00000511747;ENST00000513020;ENST00000515737;	561	62,244	reviewed
P29372	DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-alkyladenine DNA glycosylase) (3-methyladenine DNA glycosidase) (ADPG) (N-methylpurine-DNA glycosylase)	MPG AAG ANPG MID1	MPG	4350;	ENST00000219431;ENST00000356432;ENST00000397817;	298	32,869	reviewed
P28566	5-hydroxytryptamine receptor 1E (5-HT-1E) (5-HT1E) (S31) (Serotonin receptor 1E)	HTR1E	HTR1E	3354;	ENST00000305344;	365	41,682	reviewed
Q8NAA4	Autophagy-related protein 16-2 (APG16-like 2) (WD repeat-containing protein 80)	ATG16L2 WDR80	ATG16L2	89849;	ENST00000321297;	619	68,998	reviewed
P01009	Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)]	SERPINA1 AAT PI PRO0684 PRO2209	SERPINA1	5265;	ENST00000355814;ENST00000393087;ENST00000393088;ENST00000402629;ENST00000404814;ENST00000437397;ENST00000440909;ENST00000448921;ENST00000449399;ENST00000489769;	418	46,737	reviewed
P29274	Adenosine receptor A2a	ADORA2A ADORA2	ADORA2A	135;	ENST00000337539;	412	44,707	reviewed
P29275	Adenosine receptor A2b	ADORA2B	ADORA2B	136;	ENST00000304222;	332	36,333	reviewed
Q9NRG9	Aladin (Adracalin)	AAAS ADRACALA GL003	AAAS	8086;	ENST00000209873;ENST00000394384;	546	59,574	reviewed
P31941	DNA dC->dU-editing enzyme APOBEC-3A (A3A) (EC 3.5.4.-) (Phorbolin-1)	APOBEC3A	APOBEC3A	100913187;200315;	ENST00000249116;ENST00000402255;ENST00000570508;ENST00000618553;ENST00000623492;	199	23,012	reviewed
O94911	ATP-binding cassette sub-family A member 8	ABCA8 KIAA0822	ABCA8	10351;	ENST00000269080;ENST00000586539;	1581	179,245	reviewed
Q9NUT2	ATP-binding cassette sub-family B member 8, mitochondrial (Mitochondrial ATP-binding cassette 1) (M-ABC1)	ABCB8 MABC1	ABCB8	11194;	ENST00000297504;ENST00000358849;ENST00000498578;ENST00000542328;	735	79,989	reviewed
Q9NRK6	ATP-binding cassette sub-family B member 10, mitochondrial (ATP-binding cassette transporter 10) (ABC transporter 10 protein) (Mitochondrial ATP-binding cassette 2) (M-ABC2)	ABCB10	ABCB10	23456;	ENST00000344517;	738	79,148	reviewed
Q9H221	ATP-binding cassette sub-family G member 8 (Sterolin-2)	ABCG8	ABCG8	64241;	ENST00000272286;	673	75,679	reviewed
Q8TB40	Protein ABHD4 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 4) (Abhydrolase domain-containing protein 4) (Alpha/beta-hydrolase 4) (Lyso-N-acylphosphatidylethanolamine lipase)	ABHD4	ABHD4	63874;	ENST00000418446;ENST00000428304;	342	38,794	reviewed
O94929	Actin-binding LIM protein 3 (abLIM-3) (Actin-binding LIM protein family member 3)	ABLIM3 KIAA0843 HMFN1661	ABLIM3	22885;	ENST00000309868;ENST00000326685;ENST00000504238;ENST00000506113;ENST00000517451;	683	77,802	reviewed
Q8N961	Ankyrin repeat and BTB/POZ domain-containing protein 2	ABTB2	ABTB2	25841;	ENST00000435224;	1025	113,656	reviewed
O00763	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACACB ACC2 ACCB	ACACB	32;	ENST00000338432;ENST00000377848;	2458	276,541	reviewed
Q9H845	Acyl-CoA dehydrogenase family member 9, mitochondrial (ACAD-9) (EC 1.3.99.-)	ACAD9	ACAD9	28976;	ENST00000308982;	621	68,760	reviewed
P11310	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)	ACADM	ACADM	34;	ENST00000370841;ENST00000420607;	421	46,588	reviewed
Q96P50	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3 (Centaurin-beta-5) (Cnt-b5)	ACAP3 CENTB5 KIAA1716	ACAP3	116983;	ENST00000353662;ENST00000354700;	834	92,495	reviewed
O00400	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)	SLC33A1 ACATN AT1	SLC33A1	9197;	ENST00000359479;ENST00000392845;	549	60,909	reviewed
Q5T8D3	Acyl-CoA-binding domain-containing protein 5	ACBD5 KIAA1996	ACBD5	91452;	ENST00000375888;ENST00000375901;ENST00000375905;ENST00000396271;	534	60,092	reviewed
Q9BR61	Acyl-CoA-binding domain-containing protein 6	ACBD6	ACBD6	84320;	ENST00000367595;	282	31,151	reviewed
Q5FVE4	Long-chain-fatty-acid--CoA ligase ACSBG2 (EC 6.2.1.3) (Acyl-CoA synthetase bubblegum family member 2) (Bubblegum-related protein) (PRTD-NY3)	ACSBG2 BGR UNQ2443/PRO5005	ACSBG2	81616;	ENST00000586696;ENST00000588304;ENST00000588485;ENST00000591403;	666	74,354	reviewed
P30443	HLA class I histocompatibility antigen, A-1 alpha chain (MHC class I antigen A*1)	HLA-A HLAA	HLA-A	3105;	ENST00000431930;ENST00000443552;ENST00000549869;ENST00000552193;	365	40,846	reviewed
P01892	HLA class I histocompatibility antigen, A-2 alpha chain (MHC class I antigen A*2)	HLA-A HLAA	HLA-A		ENST00000457879;ENST00000547271;ENST00000547522;	365	40,922	reviewed
P13746	HLA class I histocompatibility antigen, A-11 alpha chain (MHC class I antigen A*11)	HLA-A HLAA	HLA-A		ENST00000376809;ENST00000396634;	365	40,937	reviewed
Q96QU6	1-aminocyclopropane-1-carboxylate synthase-like protein 1 (ACC synthase-like protein 1)	ACCS PHACS	ACCS	84680;	ENST00000263776;	501	57,324	reviewed
P30447	HLA class I histocompatibility antigen, A-23 alpha chain (HLA class I histocompatibility antigen, A-9 alpha chain) (MHC class I antigen A*23)	HLA-A HLAA	HLA-A		ENST00000454091;	365	40,733	reviewed
P18462	HLA class I histocompatibility antigen, A-25 alpha chain (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*25)	HLA-A HLAA	HLA-A		ENST00000383605;	365	41,218	reviewed
P16190	HLA class I histocompatibility antigen, A-33 alpha chain (Aw-19) (Aw-33) (MHC class I antigen A*33)	HLA-A HLAA	HLA-A		ENST00000456012;	365	40,892	reviewed
P30455	HLA class I histocompatibility antigen, A-36 alpha chain (Aw-36) (MHC class I antigen A*36)	HLA-A HLAA	HLA-A		ENST00000431930;ENST00000443552;	365	40,934	reviewed
P30457	HLA class I histocompatibility antigen, A-66 alpha chain (Aw-66) (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*66)	HLA-A HLAA	HLA-A		ENST00000383605;	365	41,082	reviewed
P01891	HLA class I histocompatibility antigen, A-68 alpha chain (Aw-68) (HLA class I histocompatibility antigen, A-28 alpha chain) (MHC class I antigen A*68)	HLA-A HLAA	HLA-A		ENST00000457879;	365	40,909	reviewed
P30460	HLA class I histocompatibility antigen, B-8 alpha chain (MHC class I antigen B*8)	HLA-B HLAB	HLA-B	3106;	ENST00000425848;	362	40,331	reviewed
P30480	HLA class I histocompatibility antigen, B-42 alpha chain (MHC class I antigen B*42)	HLA-B HLAB	HLA-B		ENST00000412585;	362	40,333	reviewed
P30483	HLA class I histocompatibility antigen, B-45 alpha chain (Bw-45) (MHC class I antigen B*45)	HLA-B HLAB	HLA-B		ENST00000450871;	362	40,414	reviewed
Q29940	HLA class I histocompatibility antigen, B-59 alpha chain (MHC class I antigen B*59)	HLA-B HLAB	HLA-B		ENST00000359635;	362	40,584	reviewed
P30498	HLA class I histocompatibility antigen, B-78 alpha chain (MHC class I antigen B*78)	HLA-B HLAB	HLA-B		ENST00000359635;	362	40,478	reviewed
Q9TNN7	HLA class I histocompatibility antigen, Cw-5 alpha chain (MHC class I antigen Cw*5)	HLA-C HLAC	HLA-C		ENST00000400341;ENST00000400394;	366	40,912	reviewed
Q29963	HLA class I histocompatibility antigen, Cw-6 alpha chain (MHC class I antigen Cw*6)	HLA-C HLAC	HLA-C		ENST00000420206;	366	40,969	reviewed
P30505	HLA class I histocompatibility antigen, Cw-8 alpha chain (MHC class I antigen Cw*8)	HLA-C HLAC	HLA-C		ENST00000400341;ENST00000400394;	366	40,773	reviewed
P30510	HLA class I histocompatibility antigen, Cw-14 alpha chain (MHC class I antigen Cw*14)	HLA-C HLAC	HLA-C		ENST00000438171;	366	40,838	reviewed
Q95604	HLA class I histocompatibility antigen, Cw-17 alpha chain (MHC class I antigen Cw*17)	HLA-C D6S204 HLA-JY3 HLAC	HLA-C		ENST00000400341;ENST00000400394;	372	41,238	reviewed
Q16537	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon)	PPP2R5E	PPP2R5E	5529;	ENST00000337537;ENST00000422769;ENST00000555899;	467	54,699	reviewed
Q66LE6	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform (PP2A subunit B isoform B55-delta) (PP2A subunit B isoform PR55-delta) (PP2A subunit B isoform R2-delta) (PP2A subunit B isoform delta)	PPP2R2D KIAA1541	PPP2R2D	55844;	ENST00000455566;	453	52,042	reviewed
Q9Y2T4	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform (IMYPNO1) (PP2A subunit B isoform B55-gamma) (PP2A subunit B isoform PR55-gamma) (PP2A subunit B isoform R2-gamma) (PP2A subunit B isoform gamma)	PPP2R2C	PPP2R2C	5522;	ENST00000335585;ENST00000382599;ENST00000506140;ENST00000507294;ENST00000515571;	447	51,515	reviewed
P13760	HLA class II histocompatibility antigen, DRB1-4 beta chain (MHC class II antigen DRB1*4) (DR-4) (DR4)	HLA-DRB1	HLA-DRB1		ENST00000419393;	266	30,112	reviewed
P20039	HLA class II histocompatibility antigen, DRB1-11 beta chain (DR-5) (DR5) (DRw11) (MHC class II antigen DRB1*11)	HLA-DRB1	HLA-DRB1		ENST00000328980;ENST00000399450;	266	30,160	reviewed
P01911	HLA class II histocompatibility antigen, DRB1-15 beta chain (DW2.2/DR2.2) (MHC class II antigen DRB1*15)	HLA-DRB1 HLA-DRB2	HLA-DRB1	3123;	ENST00000360004;	266	29,966	reviewed
Q7L8J4	SH3 domain-binding protein 5-like (SH3BP-5-like)	SH3BP5L KIAA1720 UNQ2766/PRO7133	SH3BP5L	80851;	ENST00000366472;	393	43,499	reviewed
O60239	SH3 domain-binding protein 5 (SH3BP-5) (SH3 domain-binding protein that preferentially associates with BTK)	SH3BP5 SAB	SH3BP5	9467;	ENST00000383791;ENST00000408919;ENST00000426925;	455	50,425	reviewed
Q13541	Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I)	EIF4EBP1	EIF4EBP1	1978;	ENST00000338825;	118	12,580	reviewed
O60516	Eukaryotic translation initiation factor 4E-binding protein 3 (4E-BP3) (eIF4E-binding protein 3)	EIF4EBP3	EIF4EBP3	8637;	ENST00000310331;	100	10,873	reviewed
P28222	5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (S12) (Serotonin 1D beta receptor) (5-HT-1D-beta) (Serotonin receptor 1B)	HTR1B HTR1DB	HTR1B	3351;	ENST00000369947;	390	43,568	reviewed
P28221	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin 1D alpha receptor) (5-HT-1D-alpha) (Serotonin receptor 1D)	HTR1D HTR1DA HTRL	HTR1D	3352;	ENST00000374619;	377	41,907	reviewed
O95264	5-hydroxytryptamine receptor 3B (5-HT3-B) (5-HT3B) (Serotonin receptor 3B)	HTR3B	HTR3B	9177;	ENST00000260191;ENST00000537778;	441	50,292	reviewed
P34969	5-hydroxytryptamine receptor 7 (5-HT-7) (5-HT7) (5-HT-X) (Serotonin receptor 7)	HTR7	HTR7	3363;	ENST00000277874;ENST00000336152;ENST00000371719;	479	53,555	reviewed
Q969T7	7-methylguanosine phosphate-specific 5'-nucleotidase (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3B) (Cytosolic 5'-nucleotidase III-like protein) (cN-III-like protein) (EC 3.1.3.5) (N(7)-methylguanylate 5'-phosphatase)	NT5C3B NT5C3L	NT5C3B	115024;	ENST00000435506;	300	34,389	reviewed
P52209	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	PGD PGDH	PGD	5226;	ENST00000270776;	483	53,140	reviewed
P36639	7,8-dihydro-8-oxoguanine triphosphatase (EC 3.6.1.55) (2-hydroxy-dATP diphosphatase) (EC 3.6.1.56) (8-oxo-dGTPase) (Nucleoside diphosphate-linked moiety X motif 1) (Nudix motif 1)	NUDT1 MTH1	NUDT1	4521;	ENST00000339737;ENST00000343985;ENST00000356714;ENST00000397046;ENST00000397048;ENST00000397049;	197	22,520	reviewed
Q676U5	Autophagy-related protein 16-1 (APG16-like 1)	ATG16L1 APG16L UNQ9393/PRO34307	ATG16L1	55054;	ENST00000347464;ENST00000373525;ENST00000392017;ENST00000392020;ENST00000625501;ENST00000626623;ENST00000630066;ENST00000630204;	607	68,265	reviewed
P02763	Alpha-1-acid glycoprotein 1 (AGP 1) (Orosomucoid-1) (OMD 1)	ORM1 AGP1	ORM1	5004;	ENST00000259396;	201	23,512	reviewed
P20848	Putative alpha-1-antitrypsin-related protein (Protease inhibitor 1-like) (Serpin A2)	SERPINA2 ARGS ATR PIL SERPINA2P	SERPINA2			420	47,891	reviewed
Q96IX9	Putative ankyrin repeat domain-containing protein 26-like 1 (Ankyrin repeat domain-containing protein 36B pseudogene 1)	ANKRD36BP1 ANKRD26L1	ANKRD36BP1			119	14,172	reviewed
Q9NPC4	Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha-1,4-N-acetylglucosaminyltransferase) (Alpha-1,4-galactosyltransferase) (Alpha4Gal-T1) (CD77 synthase) (Globotriaosylceramide synthase) (Gb3 synthase) (P1/Pk synthase) (UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase)	A4GALT A14GALT A4GALT1	A4GALT	53947;	ENST00000249005;ENST00000381278;ENST00000401850;	353	40,499	reviewed
P05067	Amyloid beta A4 protein (ABPP) (APPI) (APP) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Beta-amyloid precursor protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	APP	351;	ENST00000346798;ENST00000348990;ENST00000354192;ENST00000357903;ENST00000358918;ENST00000440126;	770	86,943	reviewed
Q96GX2	Putative ataxin-7-like protein 3B	ATXN7L3B	ATXN7L3B	552889;	ENST00000519948;	97	10,771	reviewed
Q9H7C9	Mth938 domain-containing protein (Adipogenesis associated Mth938 domain-containing protein)	AAMDC C11orf67 PTD015	AAMDC	28971;	ENST00000393427;ENST00000526415;ENST00000532481;	122	13,332	reviewed
Q13685	Angio-associated migratory cell protein	AAMP	AAMP	14;	ENST00000248450;	434	46,751	reviewed
Q9Y312	Protein AAR2 homolog (AAR2 splicing factor homolog)	AAR2 C20orf4 CGI-23 PRO0225	AAR2	25980;	ENST00000320849;ENST00000373932;	384	43,472	reviewed
Q8NHS2	Putative aspartate aminotransferase, cytoplasmic 2 (EC 2.6.1.-) (Glutamate oxaloacetate transaminase 1-like protein 1) (Transaminase A-like protein 1)	GOT1L1	GOT1L1	137362;	ENST00000307599;	421	47,305	reviewed
P00505	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	GOT2	GOT2	2806;	ENST00000245206;ENST00000434819;	430	47,518	reviewed
Q9NUQ8	ATP-binding cassette sub-family F member 3	ABCF3	ABCF3	55324;	ENST00000292808;ENST00000429586;	709	79,745	reviewed
Q9H222	ATP-binding cassette sub-family G member 5 (Sterolin-1)	ABCG5	ABCG5	64240;	ENST00000260645;	651	72,504	reviewed
P16219	Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)	ACADS	ACADS	35;	ENST00000242592;	412	44,297	reviewed
Q8NC06	Acyl-CoA-binding domain-containing protein 4	ACBD4 HMFT0700	ACBD4	79777;	ENST00000321854;ENST00000376955;ENST00000398322;ENST00000431281;ENST00000586346;ENST00000591859;ENST00000619916;	268	30,308	reviewed
Q709F0	Acyl-CoA dehydrogenase family member 11 (ACAD-11) (EC 1.3.99.-)	ACAD11	ACAD11	84129;	ENST00000264990;	780	87,283	reviewed
Q4AC99	Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2 (ACC synthase-like protein 2)	ACCSL	ACCSL	390110;	ENST00000378832;	568	65,249	reviewed
P30450	HLA class I histocompatibility antigen, A-26 alpha chain (MHC class I antigen A*26)	HLA-A HLAA	HLA-A		ENST00000383605;ENST00000549224;	365	41,062	reviewed
P16188	HLA class I histocompatibility antigen, A-30 alpha chain (MHC class I antigen A*30)	HLA-A HLAA	HLA-A		ENST00000376809;ENST00000396634;	365	40,905	reviewed
P10314	HLA class I histocompatibility antigen, A-32 alpha chain (MHC class I antigen A*32)	HLA-A HLAA	HLA-A		ENST00000454091;ENST00000552493;	365	41,048	reviewed
P30456	HLA class I histocompatibility antigen, A-43 alpha chain (Aw-43) (MHC class I antigen A*43)	HLA-A HLAA	HLA-A		ENST00000383605;	365	41,033	reviewed
P10316	HLA class I histocompatibility antigen, A-69 alpha chain (Aw-69) (HLA class I histocompatibility antigen, A-28 alpha chain) (MHC class I antigen A*69)	HLA-A HLAA	HLA-A		ENST00000457879;	365	40,977	reviewed
P30461	HLA class I histocompatibility antigen, B-13 alpha chain (MHC class I antigen B*13)	HLA-B HLAB	HLA-B		ENST00000435618;	362	40,474	reviewed
P30485	HLA class I histocompatibility antigen, B-47 alpha chain (Bw-47) (MHC class I antigen B*47)	HLA-B HLAB	HLA-B		ENST00000435618;	362	40,571	reviewed
P30487	HLA class I histocompatibility antigen, B-49 alpha chain (HLA class I histocompatibility antigen, B-21 alpha chain) (MHC class I antigen B*49)	HLA-B HLAB	HLA-B		ENST00000435618;	362	40,581	reviewed
P18464	HLA class I histocompatibility antigen, B-51 alpha chain (MHC class I antigen B*51)	HLA-B HLAB	HLA-B		ENST00000359635;	362	40,566	reviewed
P30490	HLA class I histocompatibility antigen, B-52 alpha chain (Bw-52) (HLA class I histocompatibility antigen, B-5 alpha chain) (MHC class I antigen B*52)	HLA-B HLAB	HLA-B		ENST00000450871;	362	40,521	reviewed
P10319	HLA class I histocompatibility antigen, B-58 alpha chain (Bw-58) (MHC class I antigen B*58)	HLA-B HLAB	HLA-B		ENST00000435618;	362	40,337	reviewed
Q31612	HLA class I histocompatibility antigen, B-73 alpha chain (MHC class I antigen B*73)	HLA-B HLAB	HLA-B		ENST00000412585;	363	40,435	reviewed
Q29718	HLA class I histocompatibility antigen, B-82 alpha chain (MHC class I antigen B*82)	HLA-B HLAB	HLA-B		ENST00000359635;	362	40,421	reviewed
P30504	HLA class I histocompatibility antigen, Cw-4 alpha chain (MHC class I antigen Cw*4)	HLA-C HLAC	HLA-C		ENST00000400341;ENST00000400394;	366	40,995	reviewed
P10321	HLA class I histocompatibility antigen, Cw-7 alpha chain (MHC class I antigen Cw*7)	HLA-C HLAC	HLA-C	3107;	ENST00000376228;	366	40,649	reviewed
P30508	HLA class I histocompatibility antigen, Cw-12 alpha chain (MHC class I antigen Cw*12)	HLA-C HLAC	HLA-C		ENST00000420206;	366	40,886	reviewed
Q29960	HLA class I histocompatibility antigen, Cw-16 alpha chain (MHC class I antigen Cw*16)	HLA-C HLAC	HLA-C		ENST00000438171;	366	40,753	reviewed
Q29974	HLA class II histocompatibility antigen, DRB1-16 beta chain (MHC class II antigen DRB1*16) (DR-16) (DR16)	HLA-DRB1	HLA-DRB1	3123;	ENST00000360004;	266	30,030	reviewed
Q13542	Eukaryotic translation initiation factor 4E-binding protein 2 (4E-BP2) (eIF4E-binding protein 2)	EIF4EBP2	EIF4EBP2	1979;	ENST00000373218;	120	12,939	reviewed
P41595	5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (Serotonin receptor 2B)	HTR2B	HTR2B	3357;	ENST00000258400;	481	54,298	reviewed
P28335	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	HTR2C HTR1C	HTR2C	3358;	ENST00000276198;ENST00000371950;ENST00000371951;	458	51,821	reviewed
Q13639	5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4)	HTR4	HTR4	3360;	ENST00000360693;ENST00000362016;ENST00000377888;ENST00000517929;ENST00000520514;ENST00000521530;ENST00000521735;ENST00000522588;ENST00000631296;	388	43,761	reviewed
P50406	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6)	HTR6	HTR6	3362;	ENST00000289753;	440	46,954	reviewed
Q9H0P0	Cytosolic 5'-nucleotidase 3A (EC 3.1.3.5) (7-methylguanosine phosphate-specific 5'-nucleotidase) (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3) (Cytosolic 5'-nucleotidase III) (cN-III) (Pyrimidine 5'-nucleotidase 1) (P5'N-1) (P5N-1) (PN-I) (Uridine 5'-monophosphate hydrolase 1) (p36)	NT5C3A NT5C3 P5N1 UMPH1 HSPC233	NT5C3A	51251;	ENST00000242210;ENST00000381626;ENST00000396152;ENST00000405342;ENST00000409467;ENST00000620705;	336	37,948	reviewed
P49902	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (Cytosolic 5'-nucleotidase II)	NT5C2 NT5B NT5CP PNT5	NT5C2	22978;	ENST00000343289;ENST00000404739;	561	64,970	reviewed
Q5TYW2	Ankyrin repeat domain-containing protein 20A1	ANKRD20A1 ANKRD20A	ANKRD20A1	84210;	ENST00000562196;	823	94,048	reviewed
Q5VUR7	Ankyrin repeat domain-containing protein 20A3	ANKRD20A3	ANKRD20A3	441425;	ENST00000611388;	823	94,108	reviewed
P0DMS8	Adenosine receptor A3	ADORA3	ADORA3	140;	ENST00000241356;	318	36,185	reviewed
