Complex name	Complex size	Organism	Number of RNA-binding subunits	Number of SUMOylated subunits	RNA binding	SUMOylated	RNA.SUMO
AP4 adaptor complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
TSC1-TSC2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	4	human	0	1	FALSE	TRUE	FALSE.TRUE
NUMAC complex (nucleosomal methylation activator complex)	10	human	1	6	TRUE	TRUE	TRUE.TRUE
Nup 107-160 subcomplex	9	human	1	7	TRUE	TRUE	TRUE.TRUE
FA complex (Fanconi anemia complex), cytoplasmic	4	human	0	0	FALSE	FALSE	FALSE.FALSE
CD28-transactivation complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
Ku antigen-NARG1 complex	3	human	3	3	TRUE	TRUE	TRUE.TRUE
Anaphase-promoting complex	9	human	0	4	FALSE	TRUE	FALSE.TRUE
p300-MDM2-p53 protein complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
hNURF complex	4	human	1	4	TRUE	TRUE	TRUE.TRUE
RNA polymerase II holoenzyme complex	24	human	8	8	TRUE	TRUE	TRUE.TRUE
RNA polymerase II core complex	12	human	4	4	TRUE	TRUE	TRUE.TRUE
Prefoldin complex	6	human	0	2	FALSE	TRUE	FALSE.TRUE
SNAPc (small nuclear RNA-activating protein) complex	5	human	0	0	FALSE	FALSE	FALSE.FALSE
Polycomb repressive complex 1 (PRC1, hPRC-H)	13	human	3	11	TRUE	TRUE	TRUE.TRUE
GPR56-CD81-Galphaq/11-Gbeta complex	8	human	0	1	FALSE	TRUE	FALSE.TRUE
GPI-GnT activity complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
Lymphotoxin beta receptor complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Rnase/Mrp complex	10	human	6	2	TRUE	TRUE	TRUE.TRUE
NDC80 kinetochore complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
PIDDsome complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Telosome complex	6	human	0	2	FALSE	TRUE	FALSE.TRUE
E-box sequence-binding complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant)	5	human	0	1	FALSE	TRUE	FALSE.TRUE
APP-FE65-LRP complex	3	human	1	0	TRUE	FALSE	TRUE.FALSE
Gamma-BAR-AP1 complex	9	human	0	1	FALSE	TRUE	FALSE.TRUE
PBAF complex (Polybromo- and BAF containing complex)	12	human	1	7	TRUE	TRUE	TRUE.TRUE
TFIIE complex	2	human	1	0	TRUE	FALSE	TRUE.FALSE
TFIIF complex (transcription factor IIF)	2	human	1	1	TRUE	TRUE	TRUE.TRUE
Retrotranslocation complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Condensin I complex	5	human	0	3	FALSE	TRUE	FALSE.TRUE
Condensin I-PARP-1-XRCC1 complex	7	human	1	5	TRUE	TRUE	TRUE.TRUE
Condensin II	5	human	0	5	FALSE	TRUE	FALSE.TRUE
Conserved oligomeric Golgi (COG) complex	8	human	0	0	FALSE	FALSE	FALSE.FALSE
Cohesin-SA1 complex	4	human	1	4	TRUE	TRUE	TRUE.TRUE
Cohesin-SA2 complex	4	human	1	4	TRUE	TRUE	TRUE.TRUE
MRN complex (MRE11-RAD50-NBN complex)	3	human	0	3	FALSE	TRUE	FALSE.TRUE
OGT-TRAK1-TRAK2 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
PNUTS-PP1 complex	2	human	1	2	TRUE	TRUE	TRUE.TRUE
26S proteasome	22	human	4	19	TRUE	TRUE	TRUE.TRUE
Wave-2 complex	5	human	0	0	FALSE	FALSE	FALSE.FALSE
BAF complex	13	human	1	6	TRUE	TRUE	TRUE.TRUE
Mitotic checkpoint complex (MCC)	4	human	0	2	FALSE	TRUE	FALSE.TRUE
20S proteasome	14	human	2	13	TRUE	TRUE	TRUE.TRUE
PA28-20S proteasome	16	human	2	13	TRUE	TRUE	TRUE.TRUE
PA700-20S-PA28 complex	36	human	4	28	TRUE	TRUE	TRUE.TRUE
PA28gamma-20S proteasome	15	human	2	13	TRUE	TRUE	TRUE.TRUE
HUIC complex	2	human	2	2	TRUE	TRUE	TRUE.TRUE
Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)	5	human	0	2	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)	5	human	0	2	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)	5	human	0	2	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)	5	human	0	2	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)	5	human	0	2	FALSE	TRUE	FALSE.TRUE
DNA ligase IV-XRCC1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)	5	human	0	2	FALSE	TRUE	FALSE.TRUE
CAND1-CUL1-RBX1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ARF-Mule complex	3	human	2	1	TRUE	TRUE	TRUE.TRUE
CAND1-CUL2-RBX1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
CAND1-CUL3-RBX1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
CAND1-CUL4A-RBX1 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
CAND1-CUL4B-RBX1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)	3	human	0	1	FALSE	TRUE	FALSE.TRUE
NAT complex	7	human	0	1	FALSE	TRUE	FALSE.TRUE
Mediator complex	32	human	0	6	FALSE	TRUE	FALSE.TRUE
ARC complex	15	human	0	6	FALSE	TRUE	FALSE.TRUE
HuCHRAC complex	4	human	0	3	FALSE	TRUE	FALSE.TRUE
WICH complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
SWI-SNF chromatin remodeling-related-BRCA1 complex	11	human	2	9	TRUE	TRUE	TRUE.TRUE
BRCA1-CTIP-ZBRK1 repressor complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
BRCA1-BACH1 complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
RalBP1-CDC2-CCNB1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
BRAFT complex	13	human	0	5	FALSE	TRUE	FALSE.TRUE
BLM complex III	4	human	0	3	FALSE	TRUE	FALSE.TRUE
RalBP1-CCNB1-AP2A-NUMB-EPN1 complex	6	human	0	0	FALSE	FALSE	FALSE.FALSE
BCDX2 complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
RAD51C-XRCC3 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
TBPIP/HOP2-MND1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
RAD51B-RAD51C complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	5	human	0	1	FALSE	TRUE	FALSE.TRUE
R/M complex (RAD50-MRE11 complex)	2	human	0	2	FALSE	TRUE	FALSE.TRUE
ATR-ATRIP complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
RAD17-RFC complex	5	human	0	1	FALSE	TRUE	FALSE.TRUE
RAD17-RFC-9-1-1 checkpoint supercomplex	8	human	0	1	FALSE	TRUE	FALSE.TRUE
HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	5	human	4	5	TRUE	TRUE	TRUE.TRUE
SNF2h-cohesin-NuRD complex	16	human	5	15	TRUE	TRUE	TRUE.TRUE
CRSP complex	11	human	0	4	FALSE	TRUE	FALSE.TRUE
PCNA-MLH1-PMS1 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
PCNA-MSH2-MSH6 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
ARC-L complex	14	human	0	5	FALSE	TRUE	FALSE.TRUE
ARC complex	15	human	0	6	FALSE	TRUE	FALSE.TRUE
PCNA-DNA polymerase delta complex	5	human	0	3	FALSE	TRUE	FALSE.TRUE
VEGF transcriptional complex	6	human	1	3	TRUE	TRUE	TRUE.TRUE
IRF3-CBP complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
PC2 complex	12	human	1	4	TRUE	TRUE	TRUE.TRUE
SMCC complex	17	human	1	6	TRUE	TRUE	TRUE.TRUE
INO80 chromatin remodeling complex	13	human	1	7	TRUE	TRUE	TRUE.TRUE
SRCAP-associated chromatin remodeling complex	10	human	0	5	FALSE	TRUE	FALSE.TRUE
Ribosome, cytoplasmic	81	human	77	71	TRUE	TRUE	TRUE.TRUE
60S ribosomal subunit, cytoplasmic	47	human	46	42	TRUE	TRUE	TRUE.TRUE
Cell cycle kinase complex CDC2	6	human	0	2	FALSE	TRUE	FALSE.TRUE
Cell cycle kinase complex CDK2	4	human	0	1	FALSE	TRUE	FALSE.TRUE
Cell cycle kinase complex CDK4	4	human	0	2	FALSE	TRUE	FALSE.TRUE
Cell cycle kinase complex CDK5	5	human	0	2	FALSE	TRUE	FALSE.TRUE
PCNA-p21 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
28S ribosomal subunit, mitochondrial	30	human	18	1	TRUE	TRUE	TRUE.TRUE
55S ribosome, mitochondrial	78	human	46	1	TRUE	TRUE	TRUE.TRUE
39S ribosomal subunit, mitochondrial	48	human	28	0	TRUE	FALSE	TRUE.FALSE
Ku antigen complex	2	human	2	2	TRUE	TRUE	TRUE.TRUE
PSF-p54(nrb) complex	2	human	2	2	TRUE	TRUE	TRUE.TRUE
p54(nrb)-PSF-matrin3 complex	3	human	3	3	TRUE	TRUE	TRUE.TRUE
DNA ligase IV-XRCC4-AHNK complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
40S ribosomal subunit, cytoplasmic	31	human	30	28	TRUE	TRUE	TRUE.TRUE
DNA ligase IV-XRCC4 complex (LX complex)	2	human	0	1	FALSE	TRUE	FALSE.TRUE
DNA ligase IV-XRCC4-PNK complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
Spliceosome	143	human	116	106	TRUE	TRUE	TRUE.TRUE
DNA ligase IV-condensin complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
DNA-PK-Ku antigen complex	3	human	3	3	TRUE	TRUE	TRUE.TRUE
DNA ligase IV-XRCC4-XLF complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Artemis-DNA-PK complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex	4	human	0	4	FALSE	TRUE	FALSE.TRUE
DNA ligase III-XRCC1 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
ERCC1-ERCC4-MSH2 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
MSH2-MSH6-PMS1-MLH1 complex	4	human	0	4	FALSE	TRUE	FALSE.TRUE
MSH2-MSH6 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
MSH2-MSH3 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
PCNA-MutS-alpha-MutL-alpha-DNA complex	5	human	0	5	FALSE	TRUE	FALSE.TRUE
MutL-alpha complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
MutL-beta complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (UBADC1, RNF123)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
MCM complex	6	human	0	6	FALSE	TRUE	FALSE.TRUE
ORC complex (origin recognition complex)	6	human	0	5	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (SKP1A, FBXW2, CUL1)	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)	3	human	0	2	FALSE	TRUE	FALSE.TRUE
Succinyl-CoA synthetase, GDP-forming	2	human	1	1	TRUE	TRUE	TRUE.TRUE
Succinyl-CoA synthetase, ADP-forming	2	human	1	1	TRUE	TRUE	TRUE.TRUE
Isocitrate dehydrogenase, cytoplasmic	1	human	0	0	FALSE	FALSE	FALSE.FALSE
Guanylyl cyclase, soluble (GUCY1A2, GUCY1B3)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Guanylyl cyclase, soluble (GUCY1A3, GUCY1B3)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Farnesyltransferase	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Beta-dystroglycan-caveolin-3 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
EXO1-MLH1-PMS2 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
EXO1-MLH1-PCNA complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
MSH4-MSH5-GPS2 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Meprin A	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Molybdopterin synthase	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Phosphatidylinositol 3-kinase complex (PIK3C3, PIK3R4)	2	human	0	1	FALSE	TRUE	FALSE.TRUE
18S U11/U12 snRNP	24	human	19	16	TRUE	TRUE	TRUE.TRUE
N-NOS-CHIP-HSP70-1 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
BASC complex (BRCA1-associated genome surveillance complex)	12	human	1	9	TRUE	TRUE	TRUE.TRUE
GCN5-TRRAP histone acetyltransferase complex	10	human	1	8	TRUE	TRUE	TRUE.TRUE
TFTC-type histone acetyl transferase complex	11	human	0	4	FALSE	TRUE	FALSE.TRUE
BP-SMAD complex	8	human	0	2	FALSE	TRUE	FALSE.TRUE
CRB1-MPP5-INADL complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
MPP4-MPP5-CRB1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
Gamma-secretase complex (APH1B, PSEN2, PSENEN, NCSTN)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
Gamma-secretase complex (APH1A, PSEN2, PSENEN, NCSTN)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
TFIID-beta complex	12	human	0	5	FALSE	TRUE	FALSE.TRUE
TFTC complex (TATA-binding protein-free TAF-II-containing complex)	17	human	1	8	TRUE	TRUE	TRUE.TRUE
Prolyl 4-hydroxylase (alpha(I)-type)	2	human	1	2	TRUE	TRUE	TRUE.TRUE
Prolyl 4-hydroxylase (alpha(III)-type)	2	human	1	1	TRUE	TRUE	TRUE.TRUE
STAGA complex (SPT3-TAF9-GCN5 acetyltransferase complex)	13	human	1	7	TRUE	TRUE	TRUE.TRUE
PCAF complex	10	human	0	5	FALSE	TRUE	FALSE.TRUE
STAGA core complex (SPT3-TAF9-GCN5 acetyltransferase complex)	3	human	0	2	FALSE	TRUE	FALSE.TRUE
TFIID complex, B-cell specific	12	human	0	5	FALSE	TRUE	FALSE.TRUE
WIP-WASp-actin-myosin-IIa complex	6	human	1	3	TRUE	TRUE	TRUE.TRUE
TFIIA complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
DA complex	15	human	0	7	FALSE	TRUE	FALSE.TRUE
DAB complex	16	human	0	7	FALSE	TRUE	FALSE.TRUE
TFIID complex	12	human	1	6	TRUE	TRUE	TRUE.TRUE
TFIID-beta complex	12	human	0	5	FALSE	TRUE	FALSE.TRUE
Kinase-scaffold-phosphatase complex, PKA-AKAP79-CaN	3	human	0	0	FALSE	FALSE	FALSE.FALSE
AMY-1-S-AKAP84-RII-beta complex	3	human	1	0	TRUE	FALSE	TRUE.FALSE
KCNQ1 macromolecular complex	10	human	0	1	FALSE	TRUE	FALSE.TRUE
Polycystin-1-E-cadherin-beta-catenin complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Polycystin-1-E-cadherin-beta-catenin-Flotillin-2 complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
TIP60 histone acetylase complex	5	human	0	4	FALSE	TRUE	FALSE.TRUE
TRPC3-TRPC4 channel complex, redox-sensitive	2	human	0	0	FALSE	FALSE	FALSE.FALSE
NuA4/Tip60 HAT complex	16	human	0	10	FALSE	TRUE	FALSE.TRUE
XPA-ERCC1-ERCC4 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
IMP3-IMP4-MPP10 complex	3	human	3	1	TRUE	TRUE	TRUE.TRUE
TRAP complex	16	human	2	5	TRUE	TRUE	TRUE.TRUE
TRPC1-TRPC3-TRPC7 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
IGF1-IGFBP3-ALS complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
DRIP complex	14	human	0	6	FALSE	TRUE	FALSE.TRUE
NOS3-CAV1-NOSTRIN complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
TDT-TDIF2-core-histone complex	4	human	1	1	TRUE	TRUE	TRUE.TRUE
IFNB1-IFNAR1-IFNAR2- complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
RHOA-IP3R-TRPC1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
TRP1-G alpha-11-IP3R3-CAV1 signaling complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
Channel complex TRPM6-TRPM7	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Decapping complex	5	human	4	1	TRUE	TRUE	TRUE.TRUE
LSm1-7 complex	7	human	7	2	TRUE	TRUE	TRUE.TRUE
LSm2-8 complex	7	human	7	2	TRUE	TRUE	TRUE.TRUE
F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	16	human	2	3	TRUE	TRUE	TRUE.TRUE
p300-CBP-p270-SWI/SNF complex	7	human	1	4	TRUE	TRUE	TRUE.TRUE
p300-CBP-p270 complex	3	human	1	0	TRUE	FALSE	TRUE.FALSE
ABIN2-NFKB1-MAP3K8 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
FHL2-p53-HIPK2 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
Mi2/NuRD-BCL6-MTA3 complex	5	human	0	3	FALSE	TRUE	FALSE.TRUE
NuRD.1 complex	8	human	2	5	TRUE	TRUE	TRUE.TRUE
Kv4.2-DPP10 channel complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
TIM (TIMM17ab, TIMM23, TIMM44) complex, mitochondrial	4	human	0	1	FALSE	TRUE	FALSE.TRUE
MSL complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
CTF18-CTF8-DCC1-RFC3 complex	4	human	0	2	FALSE	TRUE	FALSE.TRUE
NRD complex (Nucleosome remodeling and deacetylation complex)	7	human	3	6	TRUE	TRUE	TRUE.TRUE
Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)	3	human	0	1	FALSE	TRUE	FALSE.TRUE
CASK-LIN7C-APBA1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
CoREST-HDAC complex	7	human	2	6	TRUE	TRUE	TRUE.TRUE
AKAP250-PKA-PDE4D complex	5	human	0	2	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2)	4	human	0	3	FALSE	TRUE	FALSE.TRUE
TIM (TIMM9, TIMM10) complex, mitochondrial	2	human	0	0	FALSE	FALSE	FALSE.FALSE
LSD1-CoREST complex	2	human	1	2	TRUE	TRUE	TRUE.TRUE
LSD1 complex	13	human	1	8	TRUE	TRUE	TRUE.TRUE
MRN-TRRAP complex (MRE11A-RAD50-NBN-TRRAP complex)	4	human	0	4	FALSE	TRUE	FALSE.TRUE
BLM-TRF2 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
Tacc1-chTOG-AuroraA  complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Anti-HDAC2 complex	18	human	4	15	TRUE	TRUE	TRUE.TRUE
anti-BHC110 complex	11	human	2	10	TRUE	TRUE	TRUE.TRUE
XFIM complex	5	human	2	5	TRUE	TRUE	TRUE.TRUE
AGPS-GNPAT complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
BHC complex	6	human	2	6	TRUE	TRUE	TRUE.TRUE
RANBPM-Muskelin-TWA1-HSMpp8 complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
RANBPM-SMP1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CtBP complex	17	human	3	10	TRUE	TRUE	TRUE.TRUE
ASPP1-SAM68 complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
HDAC1-associated protein complex	9	human	4	9	TRUE	TRUE	TRUE.TRUE
HDAC1-associated core complex cI	3	human	1	3	TRUE	TRUE	TRUE.TRUE
HDAC1-associated core complex cII	10	human	3	8	TRUE	TRUE	TRUE.TRUE
HDAC2-asscociated core complex	8	human	3	6	TRUE	TRUE	TRUE.TRUE
AP3-BLOC1 complex	15	human	0	0	FALSE	FALSE	FALSE.FALSE
BLOC1-BLOC2 complex	11	human	0	0	FALSE	FALSE	FALSE.FALSE
HSF1-HSF2 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	5	human	0	1	FALSE	TRUE	FALSE.TRUE
TIM (TIMM23, TIMM50) complex, mitochondrial	2	human	1	1	TRUE	TRUE	TRUE.TRUE
BKCA-beta2AR-AKAP79 signaling complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
BKCA-beta2AR complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
GINS complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
RANBMP-CD39 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
C-CFTR-NHERF(PDZ1 domain)-ezrin complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
PAX9-MSX1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
MeCP1 complex	9	human	3	9	TRUE	TRUE	TRUE.TRUE
CFTR-NHERF-beta(2)AR signaling complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
BRMS1-SIN3-HDAC complex	8	human	3	7	TRUE	TRUE	TRUE.TRUE
BRMS1-RBP1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ARD1-NATH complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
SNARE complex (RINT1, ZW10, p31)	3	human	0	1	FALSE	TRUE	FALSE.TRUE
SNARE complex (HGS, SNAP25, STX13)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SNARE complex (VAMP2, SNAP25, STX13)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
BRG1-SIN3A complex	14	human	3	11	TRUE	TRUE	TRUE.TRUE
BRM-SIN3A complex	15	human	3	12	TRUE	TRUE	TRUE.TRUE
PU.1-SIN3A-HDAC complex	3	human	2	2	TRUE	TRUE	TRUE.TRUE
PU.1-TBP complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
MAF1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
MAF2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
P2X7 receptor signalling complex	12	human	3	6	TRUE	TRUE	TRUE.TRUE
DDB2 complex	13	human	1	4	TRUE	TRUE	TRUE.TRUE
CSA complex	13	human	1	3	TRUE	TRUE	TRUE.TRUE
CSA-POLIIa complex	14	human	2	4	TRUE	TRUE	TRUE.TRUE
Ubiquitin E3 ligase (FBXO31, SKP1A, CUL1, RBX1)	4	human	0	1	FALSE	TRUE	FALSE.TRUE
SNARE complex (STX4, SNAP23, VAMP1)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SNARE complex (STX4, SNAP23, VAMP2)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SIN3 complex	7	human	4	7	TRUE	TRUE	TRUE.TRUE
SNARE complex (STX4, VAMP1, VAMP7)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SIN3-ING1b complex I	9	human	4	8	TRUE	TRUE	TRUE.TRUE
SIN3-ING1b complex II	16	human	4	13	TRUE	TRUE	TRUE.TRUE
NCOR-HDAC3 complex	5	human	0	2	FALSE	TRUE	FALSE.TRUE
SIN3-SAP25 complex	11	human	4	10	TRUE	TRUE	TRUE.TRUE
NCOR-SIN3-RPD3 complex	4	human	2	4	TRUE	TRUE	TRUE.TRUE
C/EBPalpha-HNF6 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
NCOR-SIN3-HDAC1 complex	3	human	1	3	TRUE	TRUE	TRUE.TRUE
TRAF6-TAK1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
MeCP2-SIN3A-HDAC complex	4	human	3	4	TRUE	TRUE	TRUE.TRUE
UTM-SGCE-DAG1-CAV1-NOS3 complex	5	human	0	0	FALSE	FALSE	FALSE.FALSE
Exon junction complex (F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)	6	human	5	2	TRUE	TRUE	TRUE.TRUE
Prune-Gelsolin complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Prune-GSK3beta complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Prune/Nm23-H1 complex	2	human	1	0	TRUE	FALSE	TRUE.FALSE
Apoptosis- and splicing-associated protein complex (ASAP-S), SAP18-RNPS1-Acinus-S	3	human	3	2	TRUE	TRUE	TRUE.TRUE
Y14-Magoh complex	2	human	2	1	TRUE	TRUE	TRUE.TRUE
Dysferlin-affixin complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
